datetime,month,hour,river_flow,rainfall,temperature,reservoir_level,power_output
2023-01-01 00:00:00,1,0,134.93,15.29,18.31,45.4,49.18
2023-01-01 01:00:00,1,1,122.23,37.95,19.51,43.89,48.18
2023-01-01 02:00:00,1,2,137.95,36.88,16.35,42.19,41.99
2023-01-01 03:00:00,1,3,155.46,19.21,21.46,43.19,50.24
2023-01-01 04:00:00,1,4,120.32,25.64,13.98,40.9,39.54
2023-01-01 05:00:00,1,5,120.32,29.55,20.98,41.51,34.82
2023-01-01 06:00:00,1,6,156.58,14.84,17.98,41.11,44.17
2023-01-01 07:00:00,1,7,140.35,23.13,20.08,40.0,39.34
2023-01-01 08:00:00,1,8,115.61,24.48,18.8,43.77,40.98
2023-01-01 09:00:00,1,9,135.85,17.2,18.76,41.81,50.51
2023-01-01 10:00:00,1,10,115.73,28.75,19.18,35.6,37.61
2023-01-01 11:00:00,1,11,115.69,9.31,19.69,42.64,49.08
2023-01-01 12:00:00,1,12,129.84,32.88,17.41,41.24,45.15
2023-01-01 13:00:00,1,13,86.73,18.43,20.14,43.06,32.32
2023-01-01 14:00:00,1,14,90.5,10.66,15.9,39.48,28.54
2023-01-01 15:00:00,1,15,113.75,38.77,18.06,44.06,40.78
2023-01-01 16:00:00,1,16,104.74,28.43,19.74,39.69,45.07
2023-01-01 17:00:00,1,17,131.28,13.58,20.06,43.62,49.06
2023-01-01 18:00:00,1,18,106.84,13.43,18.99,37.72,35.34
2023-01-01 19:00:00,1,19,96.75,26.71,17.29,38.06,24.98
2023-01-01 20:00:00,1,20,154.31,32.35,19.87,43.01,57.4
2023-01-01 21:00:00,1,21,120.48,15.44,16.73,38.34,41.81
2023-01-01 22:00:00,1,22,126.35,13.16,21.57,51.03,59.31
2023-01-01 23:00:00,1,23,96.51,36.65,17.9,42.83,37.62
2023-01-02 00:00:00,1,0,114.11,37.04,14.99,40.12,37.55
2023-01-02 01:00:00,1,1,127.22,22.75,15.68,44.1,45.93
2023-01-02 02:00:00,1,2,101.98,18.71,18.16,37.6,31.61
2023-01-02 03:00:00,1,3,132.51,27.99,18.35,44.62,49.83
2023-01-02 04:00:00,1,4,112.99,18.21,22.01,44.48,48.24
2023-01-02 05:00:00,1,5,119.17,32.1,15.99,46.27,51.34
2023-01-02 06:00:00,1,6,112.97,46.15,18.15,37.8,39.37
2023-01-02 07:00:00,1,7,162.05,29.24,15.95,33.89,55.93
2023-01-02 08:00:00,1,8,124.73,24.37,17.09,36.95,25.15
2023-01-02 09:00:00,1,9,103.85,27.76,21.44,38.59,31.12
2023-01-02 10:00:00,1,10,141.45,36.59,15.8,48.34,56.96
2023-01-02 11:00:00,1,11,100.58,43.16,19.25,50.98,39.39
2023-01-02 12:00:00,1,12,129.18,30.14,18.86,41.72,40.29
2023-01-02 13:00:00,1,13,85.81,16.02,18.02,40.05,20.07
2023-01-02 14:00:00,1,14,98.44,12.44,19.11,38.25,29.84
2023-01-02 15:00:00,1,15,128.94,13.12,15.75,44.12,51.91
2023-01-02 16:00:00,1,16,139.77,33.16,21.38,50.94,63.24
2023-01-02 17:00:00,1,17,128.43,36.54,21.92,48.93,48.64
2023-01-02 18:00:00,1,18,122.69,20.03,18.17,45.69,47.84
2023-01-02 19:00:00,1,19,118.98,18.65,22.92,45.62,52.04
2023-01-02 20:00:00,1,20,95.43,21.0,17.27,44.16,27.54
2023-01-02 21:00:00,1,21,110.6,45.14,18.87,39.76,35.88
2023-01-02 22:00:00,1,22,115.79,33.67,20.94,36.32,36.5
2023-01-02 23:00:00,1,23,146.14,25.3,17.15,39.9,48.67
2023-01-03 00:00:00,1,0,131.87,20.13,15.31,42.11,50.56
2023-01-03 01:00:00,1,1,89.74,17.33,14.85,32.73,17.0
2023-01-03 02:00:00,1,2,131.48,23.56,22.19,39.24,37.99
2023-01-03 03:00:00,1,3,117.3,21.69,17.01,35.87,38.49
2023-01-03 04:00:00,1,4,111.46,24.15,17.7,45.07,33.38
2023-01-03 05:00:00,1,5,137.23,18.14,15.85,37.25,46.69
2023-01-03 06:00:00,1,6,145.62,21.87,19.97,41.64,52.81
2023-01-03 07:00:00,1,7,143.63,24.34,16.51,36.5,47.42
2023-01-03 08:00:00,1,8,108.22,27.68,17.09,47.99,40.96
2023-01-03 09:00:00,1,9,118.82,24.19,18.67,31.5,33.75
2023-01-03 10:00:00,1,10,131.63,20.15,15.94,42.38,40.65
2023-01-03 11:00:00,1,11,144.51,22.33,17.71,33.61,38.43
2023-01-03 12:00:00,1,12,115.42,21.19,20.88,37.45,36.23
2023-01-03 13:00:00,1,13,121.29,11.57,18.93,41.03,37.0
2023-01-03 14:00:00,1,14,102.87,22.35,18.33,41.28,36.5
2023-01-03 15:00:00,1,15,101.08,31.49,18.5,41.15,28.96
2023-01-03 16:00:00,1,16,141.25,16.16,17.29,40.76,49.35
